summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
fkX7CILEvUaJfkGFI90zPPzRWhgXxM57OkXRQtCGRb7wrPYo4HB4TUv5Iw,Skye Sunday,203,I,85,55,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
AqS9HKoW5JmfKm-1I9et8WL9lMmTmihvQDkCiniH7dl3_ZTp,ban me new acc,153,I,370,340,TRUE,FALSE,FALSE,FALSE
,,,,,,,,,
mLHFZVr_eG-59FHkrN15endex7GE_pS115tD6h7iKtLWjro,noir mouton,18,I,88,84,FALSE,FALSE,FALSE,TRUE
,,,,,,,,,
imIMDn2sI3BGUwPtqF3VlivY6MYYUpubSY8pTmIfZ_x2YFGM,FF15 Thank you,46,I,74,42,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,
OtSNspzy7JShoRzH779FmmlI_lB-AcxhHFz9KXgPp4yipXE,LANE DOMlNANCE ,26,I,338,328,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,
0NpqAPViHezALPjPUnToNqV4VpLZUfPg0K3x1rG9lH_oVSQ,MindPr0,90,I,206,180,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
XszoCPolzQMD6122AdNnPxdbA2z6aHYILOJVi4MQrshLdP0,KingdomHearts II,125,I,106,106,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
P4yeML5O8Im25h7EzxEN3OHIadpRvkjLJ8SY3vjc1J2Z3y8,samuel etoro9,112,I,304,287,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
ETZRjG2H8XuN1lwLcZ4ogTEpZwMajCLUYiIhEBKgc-UitrLZ,Dono Dosko,205,I,83,78,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,
yTsRgB-7S6CqGgDbU18db5_2LaVwEx4jmgu0JyA-n0OpnoM,Bae Joo hýun,1,I,261,231,FALSE,FALSE,TRUE,TRUE
,,,,,,,,,
NBjnT95Ti_rdku2SpEk1ZZL_qM6VcUzC8ADM3z0H1Z5xxOlD,ghøstky,227,I,88,63,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
fQhqWzGiOcuF7visSgQExrbTrHzI0ixNDeEW8BweyXzNtKVN,KarakaIJR,0,I,108,77,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
#NAME?,i have faith,37,I,41,31,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,
o8Avo1uXhevFDjLuA1RP_zvzfn4Qkp3kyaKoxWyLAw-RggM,Kumayusi,1,I,84,67,FALSE,FALSE,TRUE,TRUE
,,,,,,,,,
